use,type,which,loga,a,b,n,rsq,minLen,maxLen,reason
NO,WBIC_YEAR,2328800_1993,-14.0480558951678,7.92513818171988e-07,3.40197023612952,8,0.875247792669031,254,513.08,n< 25
yes,WBIC_YEAR,2328800_1999,-12.9281651562017,2.42867393287005e-06,3.21270253599042,25,0.983343810059148,279.4,670.56,
NO,WBIC_YEAR,2328900_1993,-13.7905402381195,1.02528468946409e-06,3.37416150031563,17,0.965177562750809,233.68,652.78,n< 25
yes,WBIC_YEAR,2329000_1993,-14.880318136942,3.44794194035786e-07,3.5370009777962,291,0.921194419835375,259.08,688.34,
yes,WBIC_YEAR,2329000_1999,-13.5278861070776,1.33325650679326e-06,3.31663242295835,329,0.968865292977586,172.72,726.44,
yes,WBIC_YEAR,2329300_1993,-12.7689777229004,2.84776032671782e-06,3.19670932652928,133,0.923000861205719,228.6,713.74,
yes,WBIC_YEAR,2329300_1999,-14.50994667974,4.99355944556081e-07,3.46674502890781,114,0.961214471109217,213.36,734.06,
yes,WBIC_YEAR,2329400_1993,-13.3332756297201,1.61969025159601e-06,3.28275576935573,105,0.946489415999931,208.28,762,
NO,WBIC_YEAR,2329400_1999,-24.8734996336703,1.5760731246741e-11,5.16617736949555,73,0.939958519435664,243.84,609.6,b far from 3
NO,WBIC_YEAR,2329600_1993,-10.8848611203614,1.87397968743551e-05,2.89880684620119,2,1,431.8,469.9,n< 25
yes,WBIC_YEAR,2329600_1999,-17.4873993446212,2.5428395745428e-08,3.9405058316159,41,0.978084405193561,309.88,703.58,
NO,WBIC_YEAR,2329800_1993,-10.2527060091332,3.52619524658881e-05,2.76570746805914,12,0.819820008469493,312.42,546.1,n< 25
yes,WBIC_YEAR,2329800_1999,-12.9780050896518,2.31059592698349e-06,3.22764172460319,58,0.893994394669804,172.72,741.68,
yes,WBIC_YEAR,2331600_1988,-15.2748544342692,2.32388700452062e-07,3.59834739596165,256,0.980669491551692,276.86,817.88,
yes,WBIC_YEAR,2331600_1994,-13.2190058474147,1.81576108527001e-06,3.26985340031428,310,0.982513599935076,180.34,716.28,
yes,WBIC_YEAR,2332400_1995,-13.239066996687,1.77969777627245e-06,3.2651642418183,129,0.951542441442792,325.12,728.98,
yes,WBIC_YEAR,2334300_1993,-15.9061808068455,1.23604262429053e-07,3.67391999530696,40,0.882807355952061,205.74,629.92,
NO,WBIC_YEAR,2334300_1999,-22.6364657217326,1.47607303728263e-10,4.78182705520569,41,0.939323227717962,236.22,650.24,b far from 3
yes,WBIC_YEAR,2334400_1993,-14.3182840061284,6.04850808934312e-07,3.42813301163155,295,0.885637633748842,238.76,759.46,
yes,WBIC_YEAR,2334400_1999,-13.6245246115758,1.21044244087393e-06,3.34337068916077,231,0.971484647987198,175.26,784.86,
