use,type,which,n,minLen,maxLen,numLens,minAge,maxAge,numAges,ename,sname,reason
NO,WBIC_YEAR,2676800_2009,22,400,700,11,3,17,8,eALK_2676800_2009,sALK_2676800_2009,n < 30
yes,WBIC_YEAR,2678100_1994,73,180,700,22,2,14,12,eALK_2678100_1994,sALK_2678100_1994,
yes,WBIC_YEAR,2678100_2004,135,240,720,24,2,16,9,eALK_2678100_2004,sALK_2678100_2004,
yes,WBIC_YEAR,2678100_2010,99,340,700,16,2,16,8,eALK_2678100_2010,sALK_2678100_2010,
yes,WBIC_YEAR,2691500_1993,100,340,600,14,3,17,13,eALK_2691500_1993,sALK_2691500_1993,
yes,WBIC_YEAR,2692900_1988,57,260,680,19,2,9,8,eALK_2692900_1988,sALK_2692900_1988,
yes,WBIC_YEAR,2694000_1991,124,260,700,22,3,13,11,eALK_2694000_1991,sALK_2694000_1991,
yes,WBIC_YEAR,2694000_2009,130,280,700,18,4,17,13,eALK_2694000_2009,sALK_2694000_2009,
yes,WBIC_YEAR,2695800_1992,81,340,700,17,4,16,12,eALK_2695800_1992,sALK_2695800_1992,
yes,WBIC_YEAR,2704200_1992,131,280,700,21,3,18,12,eALK_2704200_1992,sALK_2704200_1992,
yes,WBIC_YEAR,2704200_2014,98,240,520,14,2,9,8,eALK_2704200_2014,sALK_2704200_2014,
yes,WBIC_YEAR,2706500_1990,170,260,640,20,3,12,10,eALK_2706500_1990,sALK_2706500_1990,
yes,WBIC_YEAR,2706800_1987,82,300,720,15,3,12,9,eALK_2706800_1987,sALK_2706800_1987,
yes,WBIC_YEAR,2706800_1990,182,300,700,21,3,13,11,eALK_2706800_1990,sALK_2706800_1990,
yes,WBIC_YEAR,2732600_1993,190,320,680,17,4,16,13,eALK_2732600_1993,sALK_2732600_1993,
yes,WBIC_YEAR,2734000_2015,66,320,740,14,3,15,9,eALK_2734000_2015,sALK_2734000_2015,
yes,WBIC_YEAR,2742100_2004,232,180,660,25,1,15,15,eALK_2742100_2004,sALK_2742100_2004,
yes,WBIC_YEAR,2742100_2010,173,180,640,22,1,18,16,eALK_2742100_2010,sALK_2742100_2010,
